category,value,group,theme
18-29,7,vegetarian,age
18-29,3,vegan,age
30-49,8,vegetarian,age
30-49,4,vegan,age
50-64,3,vegetarian,age
50-64,1,vegan,age
65+,2,vegetarian,age
65+,3,vegan,age
$0-$30K,9,vegetarian,income
$0-$30K,4,vegan,income
$30K-$75K,5,vegetarian,income
$30K-$75K,2,vegan,income
$75K+,4,vegetarian,income
$75K+,2,vegan,income
Conservative,2,vegetarian,political
Conservative,2,vegan,political
Moderate,3,vegetarian,political
Moderate,1,vegan,political
Liberal,11,vegetarian,political
Liberal,5,vegan,political
